Gmt time,Open,High,Low,Close,Volume
2023-01-03 14:30:00,118.346,118.776,113.706,115.166,8.05
2023-01-03 14:45:00,115.176,115.327,111.596,111.596,6.52
2023-01-03 15:00:00,111.627,112.287,110.766,110.857,6.31
2023-01-03 15:15:00,110.897,111.287,110.346,111.047,4.5
2023-01-03 15:30:00,111.036,112.226,110.276,111.297,4.7
2023-01-03 15:45:00,111.296,111.597,110.306,110.897,4.96
2023-01-03 16:00:00,110.907,111.007,108.826,108.897,4.5
2023-01-03 16:15:00,108.897,109.477,108.036,108.466,5.01
2023-01-03 16:30:00,108.466,108.467,106.616,107.137,4.77
2023-01-03 16:45:00,107.156,107.437,105.576,106.677,4.08
2023-01-03 17:00:00,106.666,107.316,106.516,106.606,3.05
2023-01-03 17:15:00,106.617,106.617,105.636,106.146,3.11
2023-01-03 17:30:00,106.136,106.447,105.636,105.736,2.92
2023-01-03 17:45:00,105.736,105.887,104.786,105.507,3.18
2023-01-03 18:00:00,105.506,105.647,104.626,104.827,4.08
2023-01-03 18:15:00,104.817,105.707,104.796,105.657,3.83
2023-01-03 18:30:00,105.667,106.277,105.326,105.966,4.19
2023-01-03 18:45:00,105.967,106.707,105.636,106.456,4.01
2023-01-03 19:00:00,106.466,106.877,105.996,106.766,4.58
2023-01-03 19:15:00,106.757,107.417,106.506,107.306,3.75
2023-01-03 19:30:00,107.307,108.467,106.756,108.466,4.45
2023-01-03 19:45:00,108.457,109.377,108.006,108.306,4.39
2023-01-03 20:00:00,108.357,108.977,107.196,107.956,3.4
2023-01-03 20:15:00,107.957,108.446,107.246,108.056,4.22
2023-01-03 20:30:00,108.056,108.737,107.506,107.986,2.96
2023-01-03 20:45:00,107.956,108.577,107.806,108.036,2.69
2023-01-04 14:30:00,109.037,112.697,107.496,110.876,6.44
2023-01-04 14:45:00,110.877,112.376,108.946,109.497,5.64
2023-01-04 15:00:00,109.516,110.507,107.807,109.327,5.53
2023-01-04 15:15:00,109.326,111.026,109.196,110.687,4.78
2023-01-04 15:30:00,110.686,111.806,109.926,111.367,4.49
2023-01-04 15:45:00,111.367,112.417,111.256,111.847,4.07
2023-01-04 16:00:00,111.876,111.987,110.656,111.866,4.01
2023-01-04 16:15:00,111.877,112.407,111.656,112.256,3.2
2023-01-04 16:30:00,112.256,114.566,112.247,113.767,4.02
2023-01-04 16:45:00,113.766,114.126,113.046,113.146,3.5
2023-01-04 17:00:00,113.146,113.326,112.486,112.726,3.1
2023-01-04 17:15:00,112.736,113.186,112.416,112.697,2.75
2023-01-04 17:30:00,112.717,112.917,112.026,112.026,1.98
2023-01-04 17:45:00,112.027,112.867,111.406,111.707,2.83
2023-01-04 18:00:00,111.706,112.157,111.527,112.056,2.55
2023-01-04 18:15:00,112.036,112.837,111.996,112.716,2.2
2023-01-04 18:30:00,112.717,113.646,112.506,113.006,2.44
2023-01-04 18:45:00,113.036,114.057,112.916,113.696,2.82
2023-01-04 19:00:00,113.727,114.276,112.036,112.427,5.23
2023-01-04 19:15:00,112.376,113.507,111.826,112.007,3.83
2023-01-04 19:30:00,112.006,113.007,111.856,112.886,3.82
2023-01-04 19:45:00,112.867,113.897,112.746,113.587,3.14
2023-01-04 20:00:00,113.586,113.826,113.086,113.276,3.23
2023-01-04 20:15:00,113.266,113.707,112.966,112.996,3.01
2023-01-04 20:30:00,112.996,113.126,112.216,112.467,3.09
2023-01-04 20:45:00,112.477,113.677,112.316,113.627,3.1
2023-01-05 14:30:00,110.456,111.276,107.737,108.737,7.7
2023-01-05 14:45:00,108.766,109.187,107.437,108.596,7.94
